table	model	class_or_axis	key	usd	comparator_usd	flag
fully_loaded	Boltz2	cold_switch	D=500000,offer=on_demand,reuse=10,R=None	0.076921	38460.39/45176.91	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=500000,offer=on_demand,reuse=10,R=None	0.118247	0.076921	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=1000000,offer=on_demand,reuse=10,R=None	0.076521	76520.69/89953.73	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=1000000,offer=on_demand,reuse=10,R=None	0.117846	0.076521	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=1000,offer=preemptible,reuse=50,R=None	0.422402	422.40/426.34	cheaper_than_warm
fully_loaded_relocation_addon	Boltz2	cold_switch	D=1000,offer=preemptible,reuse=50,R=None	0.430667	0.422402	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=10000,offer=preemptible,reuse=50,R=None	0.062315	623.15/662.52	cheaper_than_warm
fully_loaded_relocation_addon	Boltz2	cold_switch	D=10000,offer=preemptible,reuse=50,R=None	0.070581	0.062315	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=50000,offer=preemptible,reuse=50,R=None	0.030308	1515.39/1712.20	cheaper_than_warm
fully_loaded_relocation_addon	Boltz2	cold_switch	D=50000,offer=preemptible,reuse=50,R=None	0.038573	0.030308	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=100000,offer=preemptible,reuse=50,R=None	0.026307	2630.68/3024.31	cheaper_than_warm
fully_loaded_relocation_addon	Boltz2	cold_switch	D=100000,offer=preemptible,reuse=50,R=None	0.034572	0.026307	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=500000,offer=preemptible,reuse=50,R=None	0.023106	11553.02/13521.18	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=500000,offer=preemptible,reuse=50,R=None	0.031371	0.023106	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=1000000,offer=preemptible,reuse=50,R=None	0.022706	22705.94/26642.27	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=1000000,offer=preemptible,reuse=50,R=None	0.030971	0.022706	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=1000,offer=on_demand,reuse=50,R=None	0.440039	440.04/447.09	cheaper_than_warm
fully_loaded_relocation_addon	Boltz2	cold_switch	D=1000,offer=on_demand,reuse=50,R=None	0.448304	0.440039	unmeasured-scenario
